id,created,answer_id,user_id,answer
1,2025-05-21 23:01:00,1,1,1
2,2025-05-21 07:01:00,2,1,1
3,2025-05-22 00:01:00,3,1,1
4,2025-05-21 12:01:00,4,1,2
5,2025-05-21 17:01:00,5,1,1
6,2025-05-08 17:08:00,1,2,2
7,2025-05-09 04:08:00,2,2,2
8,2025-05-08 20:08:00,3,2,2
9,2025-05-09 02:08:00,5,2,2
10,2025-05-23 08:57:00,1,3,1
11,2025-05-23 16:57:00,2,3,1
12,2025-05-23 16:57:00,3,3,2
13,2025-05-23 08:57:00,4,3,1
14,2025-05-23 21:57:00,5,3,2
15,2025-05-20 11:02:00,1,4,2
16,2025-05-20 02:02:00,2,4,1
17,2025-05-20 04:02:00,3,4,1
18,2025-05-20 01:02:00,4,4,2
19,2025-05-08 04:32:00,1,5,1
20,2025-05-07 09:32:00,2,5,1
21,2025-05-07 22:32:00,3,5,2
22,2025-05-07 11:32:00,5,5,2
23,2025-05-19 04:45:00,1,6,2
24,2025-05-18 20:45:00,2,6,2
25,2025-05-18 20:45:00,3,6,2
26,2025-05-18 11:45:00,4,6,2
27,2025-05-19 00:45:00,5,6,2
28,2025-05-18 20:14:00,1,7,2
29,2025-05-19 06:14:00,2,7,2
30,2025-05-18 14:14:00,3,7,2
31,2025-05-18 16:14:00,4,7,2
32,2025-05-09 23:48:00,1,8,2
33,2025-05-09 02:48:00,2,8,1
34,2025-05-09 20:48:00,3,8,1
35,2025-05-09 17:48:00,4,8,2
36,2025-05-09 10:48:00,5,8,1
37,2025-05-24 05:21:00,1,9,2
38,2025-05-23 23:21:00,2,9,2
39,2025-05-23 22:21:00,3,9,2
40,2025-05-24 11:21:00,4,9,2
41,2025-05-24 07:21:00,5,9,2
42,2025-05-08 01:06:00,1,10,1
43,2025-05-08 07:06:00,2,10,2
44,2025-05-08 05:06:00,3,10,1
45,2025-05-07 12:06:00,4,10,1
46,2025-05-07 18:06:00,5,10,2
47,2025-05-04 19:54:00,1,11,2
48,2025-05-04 11:54:00,2,11,1
49,2025-05-05 05:54:00,3,11,1
50,2025-05-04 22:54:00,4,11,1
51,2025-05-05 09:54:00,5,11,1
52,2025-05-09 17:46:00,1,12,1
53,2025-05-09 03:46:00,2,12,1
54,2025-05-09 05:46:00,3,12,2
55,2025-05-09 14:46:00,4,12,2
56,2025-05-09 15:46:00,5,12,1
57,2025-05-05 11:05:00,1,13,2
58,2025-05-04 20:05:00,2,13,1
59,2025-05-05 02:05:00,3,13,2
60,2025-05-05 03:05:00,4,13,1
61,2025-05-05 10:05:00,5,13,2
62,2025-05-28 00:39:00,1,14,2
63,2025-05-28 10:39:00,2,14,2
64,2025-05-28 12:39:00,3,14,1
65,2025-05-28 13:39:00,4,14,2
66,2025-05-13 14:12:00,1,15,2
67,2025-05-13 02:12:00,2,15,1
68,2025-05-13 12:12:00,3,15,2
69,2025-05-13 15:12:00,4,15,1
70,2025-05-13 12:12:00,5,15,1
71,2025-05-03 18:14:00,1,16,1
72,2025-05-02 21:14:00,2,16,1
73,2025-05-02 21:14:00,3,16,2
74,2025-05-03 00:14:00,4,16,2
75,2025-05-03 20:14:00,5,16,2
76,2025-05-03 08:55:00,1,17,1
77,2025-05-03 08:55:00,2,17,1
78,2025-05-04 05:55:00,4,17,1
79,2025-05-04 02:55:00,5,17,1
80,2025-05-10 14:40:00,1,18,1
81,2025-05-10 12:40:00,2,18,1
82,2025-05-10 04:40:00,3,18,1
83,2025-05-09 22:40:00,4,18,2
84,2025-05-10 11:40:00,5,18,2
85,2025-05-07 11:22:00,1,19,1
86,2025-05-06 12:22:00,2,19,2
87,2025-05-06 12:22:00,3,19,2
88,2025-05-07 01:22:00,5,19,1
89,2025-05-10 04:59:00,1,20,2
90,2025-05-10 13:59:00,2,20,1
91,2025-05-10 22:59:00,3,20,2
92,2025-05-10 18:59:00,4,20,1
93,2025-05-03 22:40:00,1,21,1
94,2025-05-04 13:40:00,2,21,2
95,2025-05-03 19:40:00,3,21,2
96,2025-05-04 15:40:00,4,21,1
97,2025-05-24 15:10:00,1,22,1
98,2025-05-24 19:10:00,2,22,1
99,2025-05-25 07:10:00,3,22,2
100,2025-05-24 19:10:00,4,22,1
101,2025-05-24 07:10:00,5,22,2
102,2025-05-10 20:44:00,1,23,2
103,2025-05-10 13:44:00,2,23,2
104,2025-05-10 05:44:00,3,23,2
105,2025-05-10 16:44:00,4,23,1
